"Source:","/home/manus/KiCad/salt/salt_ihm/salt_ihm.kicad_sch"
"Date:","Wed 24 Apr 2024 03:17:26 PM -03"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","R3","22k","salt:R_22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-1022KL","603-RC0805FR-1022KL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-1022KL?qs=m6lXFsvg5e37y4fr%252BWohrg%3D%3D"
"","","R4","40K2","salt:R_40K2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","YAGEO","RC0805FR-0740K2L","603-RC0805FR-0740K2L","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-0740K2L?qs=QrWOOBGzeCbZpVapvyHnwA%3D%3D"
"","","R5","22k","salt:R_22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-1022KL","603-RC0805FR-1022KL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-1022KL?qs=m6lXFsvg5e37y4fr%252BWohrg%3D%3D"
"","","S1","1543-650-149","salt:1543-650-149","salt:1543650149","https://www.arrow.com/en/products/1543-650-149/bourns","15.1","Bourns","1543-650-149","652-1543-650-149","https://www.mouser.co.uk/ProductDetail/Bourns/1543-650-149?qs=2f2kQrcl%2FoiIszYh%252BBIYwA%3D%3D"
"","","TP1","TestPoint","salt:TestPoint","salt:testpoint","~","","","","",""
"","","TP2","TestPoint","salt:TestPoint","salt:testpoint","~","","","","",""
"","","TP3","TestPoint","salt:TestPoint","salt:testpoint","~","","","","",""
"","","TP4","TestPoint","salt:TestPoint","salt:testpoint","~","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","2","C1, C2","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"2","1","C3","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"3","1","DS1","LTC-5723HR","salt:LTC-5723HR","salt:DIP1524W75P254L5030H825Q12N","https://componentsearchengine.com/Datasheets/1/LTC-5723HR.pdf","8.25","Lite-On","LTC-5723HR","859-LTC-5723HR","https://www.mouser.co.uk/ProductDetail/Lite-On/LTC-5723HR?qs=WxFF5lh7QM2ytJdX1EhJKQ%3D%3D"
"4","4","H1, H2, H3, H4","MountingHole","salt:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"5","1","IC1","AS1115-BSST","salt:AS1115-BSST","salt:SOP64P600X175-24N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU1/DSASFU10002655.pdf","1.75","ams","AS1115-BSST","985-AS1115-BSST","https://www.mouser.co.uk/ProductDetail/ams/AS1115-BSST?qs=jMXWnm70%252BC%2FTIBNsbFwa8Q%3D%3D"
"6","1","J1","1934861","salt:1934861","salt:1934861","https://www.phoenixcontact.com/us/products/1934861/pdf","8.72","Phoenix Contact","1934861","651-1934861","https://ar.mouser.com/ProductDetail/Phoenix-Contact/1934861?qs=F79NelsxgYFJ8Q%252BI0GKhbg%3D%3D"
"7","1","J2","1934887","salt:1934887","salt:1934887","https://www.phoenixcontact.com/us/products/1934887/pdf","8.72","Phoenix Contact","1934887","651-1934887","https://ar.mouser.com/ProductDetail/Phoenix-Contact/1934887?qs=TU%2Fqnd37FkmAQrQLEWCosQ%3D%3D"
"8","8","LED1, LED12, LED13, LED14, LED15, LED16, LED17, LED18","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"9","10","LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"10","1","LS1","CEM-1205-IC","salt:CEM-1205-IC","salt:CEM1205IC","https://www.cuidevices.com/product/resource/cem-1205-ic.pdf","10","CUI Devices","CEM-1205-IC","490-CEM1205IC","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CEM-1205-IC?qs=hd1VzrDQEGhFNAzregGKGQ%3D%3D"
"11","1","Q1","NVTR0202PLT1G","salt:NVTR0202PLT1G","salt:SOT96P237X111-3N","https://componentsearchengine.com/Datasheets/2/NVTR0202PLT1G.pdf","1.11","onsemi","NVTR0202PLT1G","863-NVTR0202PLT1G","https://www.mouser.co.uk/ProductDetail/onsemi/NVTR0202PLT1G?qs=3PKVEWFFm29UPkq%2FAwGemg%3D%3D"
"12","1","R1","150k","salt:R_150K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-13150KL","603-RC0805FR-13150KL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-13150KL?qs=m6lXFsvg5e2Mp%2Fy7W%252BnUqg%3D%3D"
"13","1","R2","100","salt:R_100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-10100RL","603-RC0805FR-10100RL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-10100RL?qs=g6xwsc4j%252B%2FoYV9cxut0j6Q%3D%3D"
"14","2","R3, R5","22k","salt:R_22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-1022KL","603-RC0805FR-1022KL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-1022KL?qs=m6lXFsvg5e37y4fr%252BWohrg%3D%3D"
"15","1","R4","40K2","salt:R_40K2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","YAGEO","RC0805FR-0740K2L","603-RC0805FR-0740K2L","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-0740K2L?qs=QrWOOBGzeCbZpVapvyHnwA%3D%3D"
"16","1","S1","1543-650-149","salt:1543-650-149","salt:1543650149","https://www.arrow.com/en/products/1543-650-149/bourns","15.1","Bourns","1543-650-149","652-1543-650-149","https://www.mouser.co.uk/ProductDetail/Bourns/1543-650-149?qs=2f2kQrcl%2FoiIszYh%252BBIYwA%3D%3D"
"17","4","TP1, TP2, TP3, TP4","TestPoint","salt:TestPoint","salt:testpoint","~","","","","",""
